"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"1",-0.0423309807691275,-0.0436331228711086,-0.0499202864078716,-0.0669071482985564,-0.0503061614394551,-0.0503061614394551,-0.0783787123038407,-0.0694756783864305
"2",-0.0408304645570471,-0.0402698023330418,-0.0429063902346637,-0.0592776553758594,-0.0492664640502907,-0.0492664640502907,-0.0783787123038407,-0.0694756783864305
"3",-0.0393196468767417,-0.0370489027916526,-0.0376769852482595,-0.050245965126601,-0.048316250896468,-0.048316250896468,-0.0783787123038407,-0.0694756783864305
"4",-0.0380433561457046,-0.0345311970847418,-0.03474612876092,-0.0452985892019601,-0.0473902113754625,-0.0473902113754625,-0.0783787123038407,-0.0694756783864305
"5",-0.0371458757912622,-0.0330702773010188,-0.0343980423374678,-0.0440926060607684,-0.0466021805661638,-0.0466021805661638,-0.0783787123038407,-0.0694756783864305
"6",-0.0358619909396053,-0.0307071494691065,-0.0317022301312686,-0.0385033461287274,-0.0465445284039495,-0.0465445284039495,-0.0781815540603132,-0.0694756783864305
"7",-0.037538330275403,-0.0365599957706375,-0.0473466883497652,-0.0523908277558,-0.0488440903950466,-0.0488440903950466,-0.0781815540603132,-0.0694756783864305
"8",-0.0362978934329688,-0.0338878058177531,-0.0408832696384762,-0.0454598514457313,-0.0458719178750564,-0.0458719178750564,-0.0781815540603132,-0.0694756783864305
"9",-0.0361983224136151,-0.034152545802436,-0.0414355356966675,-0.048001385011121,-0.0461782855181844,-0.0461782855181844,-0.0781815540603132,-0.0694756783864305
"10",-0.0360801093429475,-0.0342932116357902,-0.0417653607302052,-0.049599912880166,-0.0450517449075189,-0.0450517449075189,-0.0781815540603132,-0.0694756783864305
"11",-0.0360851232861694,-0.0348657696732928,-0.042250464717802,-0.0534602489243972,-0.0474572115506534,-0.0474572115506534,-0.0782462700760142,-0.0694756783864305
"12",-0.0350771006600865,-0.0327160265274626,-0.0380465727391898,-0.047886138850645,-0.0440361695095881,-0.0440361695095881,-0.0782462700760142,-0.0694756783864305
"13",-0.044900861158144,-0.055113845326621,-0.102436595573397,-0.0744083805751321,-0.0451162662417077,-0.0451162662417077,-0.0782462700760142,-0.0694756783864305
"14",-0.0445554011878466,-0.0525833138699376,-0.0770992224162736,-0.0715291111597187,-0.0462367429541185,-0.0462367429541185,-0.0782462700760142,-0.0694756783864305
"15",-0.0439285213415757,-0.0500436190183103,-0.0619940467971252,-0.0703014201317565,-0.0474948132062224,-0.0474948132062224,-0.0782462700760142,-0.0694756783864305
"16",-0.043809093898971,-0.0489148831308899,-0.0547078726049314,-0.0714724664433837,-0.0473931199087674,-0.0473931199087674,-0.0781218240708207,-0.0694756783864305
"17",-0.042156678195668,-0.0446935913727392,-0.0457657665224243,-0.0603776609462492,-0.0456468291869742,-0.0456468291869742,-0.0781218240708207,-0.0694756783864305
