"norm","t","skst","ald","aparch.t","fix.ald","his"
"1",-0.036944066414846,-0.0372204601011799,-0.042451235369663,-0.0530978897586465,-0.0411805000076829,-0.0620790206000241,-0.0590037532398726
"2",-0.0356343055963665,-0.0343492539338321,-0.0365045401065046,-0.0470363767817616,-0.0402876395905222,-0.0620790206000241,-0.0590037532398726
"3",-0.0343155528993952,-0.0315996300062359,-0.0320559881361968,-0.0398595118895173,-0.0394811152894001,-0.0620790206000241,-0.0590037532398726
"4",-0.0332015125584492,-0.0294503099900699,-0.0295434437600373,-0.0358992023393512,-0.0386900065845499,-0.0620790206000241,-0.0590037532398726
"5",-0.0324181257518688,-0.0282031490829989,-0.0292197569332093,-0.0349168432876468,-0.0380253730506713,-0.0620790206000241,-0.0590037532398726
"6",-0.0312965847714568,-0.0261841087460951,-0.0269302777561823,-0.0304786255583167,-0.038090073569459,-0.0619301195244899,-0.0590037532398726
"7",-0.0327598169330473,-0.0311805782193416,-0.0402447948234875,-0.0415650894865394,-0.0401520888304096,-0.0619301195244899,-0.0590037532398726
"8",-0.031677072500872,-0.0288993777848094,-0.0347424792122164,-0.0360253499820828,-0.037307558165803,-0.0619301195244899,-0.0590037532398726
"9",-0.0315901595979952,-0.0291253815415576,-0.0351759673696874,-0.0380276469513774,-0.0377190230526946,-0.0619301195244899,-0.0590037532398726
"10",-0.0314869745427815,-0.0292454654299897,-0.0354201482952703,-0.0392803223803639,-0.0366878775867142,-0.0619301195244899,-0.0590037532398726
"11",-0.0314917877709648,-0.0297356398562556,-0.0358689673722968,-0.0423742225393653,-0.0390592854615729,-0.0619735201058966,-0.0590037532398726
"12",-0.0306119115462663,-0.0279004428512036,-0.0322817279544332,-0.0379165867343545,-0.0357465463155683,-0.0619735201058966,-0.0590037532398726
"13",-0.0391868116285812,-0.0470210573579369,-0.0873304098757764,-0.0590194249525666,-0.0365843881433795,-0.0619735201058966,-0.0590037532398726
"14",-0.0388852687796563,-0.0448607882302028,-0.0656710961610944,-0.0567138427868485,-0.0377935284204604,-0.0619735201058966,-0.0590037532398726
"15",-0.038338081982253,-0.0426926964772449,-0.0528454355447741,-0.0557513209059834,-0.0390108909869085,-0.0619735201058966,-0.0590037532398726
"16",-0.0382317321362895,-0.0417263296743602,-0.0466742397568737,-0.0566965201869607,-0.0388283834328398,-0.0618586399236858,-0.0590037532398726
"17",-0.0367893822792187,-0.0381226889298559,-0.0390234718980174,-0.0478470465168357,-0.0372024375556429,-0.0618586399236858,-0.0590037532398726
"18",-0.0365961567533744,-0.0374322888273451,-0.0388285260780532,-0.0481486553326249,-0.0367920087814818,-0.0618586399236858,-0.0590037532398726
"19",-0.0369783427913824,-0.0380632955561488,-0.0413251220865704,-0.0503285089507699,-0.0363618751570777,-0.0618586399236858,-0.0590037532398726
"20",-0.0356775944223596,-0.0350669559556007,-0.0358094681520945,-0.0435196096077561,-0.036967066738295,-0.0618586399236858,-0.0590037532398726
"21",-0.0343021674095409,-0.0321621644815542,-0.0314881778010785,-0.0372749520465732,-0.036078784396409,-0.0617989774789846,-0.0590037532398726
"22",-0.0330767260527768,-0.0296885343838239,-0.0285462115865112,-0.0320942373946309,-0.0359049229359041,-0.0617989774789846,-0.0590037532398726
"23",-0.0324486491330222,-0.0287698081513427,-0.0294136895861908,-0.0327172921970487,-0.0347868624833448,-0.0617989774789846,-0.0590037532398726
"24",-0.0322071665703657,-0.0289639579619864,-0.0316639694942988,-0.0370624708011746,-0.0370290486305506,-0.0617989774789846,-0.0590037532398726
"25",-0.034510035133506,-0.03530199392479,-0.045639595198428,-0.0488590216264129,-0.0382931423879483,-0.0617989774789846,-0.0590037532398726
"26",-0.033314976289959,-0.0325452221860389,-0.0382516156133102,-0.0430942280218005,-0.0364828131346884,-0.061852964385107,-0.0587937400245212
"27",-0.0325450656865264,-0.030885164649923,-0.0348059490753245,-0.0404346501454711,-0.0359213623939641,-0.061852964385107,-0.0587937400245212
"28",-0.0368171769526957,-0.0405898500442677,-0.0571498789389415,-0.053663388825953,-0.0348972524256662,-0.061852964385107,-0.0587937400245212
"29",-0.036298860183434,-0.0388623575200889,-0.0476261355836068,-0.0527265714481473,-0.0395046086734603,-0.061852964385107,-0.0587937400245212
"30",-0.0401465419009435,-0.0460756620901328,-0.0563004759480509,-0.0644757645204663,-0.0415522831471303,-0.061852964385107,-0.0587937400245212
"31",-0.0387741769267664,-0.0423119766714206,-0.0454694064653548,-0.0572141027078032,-0.0403329988530751,-0.061824020551235,-0.0587937400245212
"32",-0.0426950566045445,-0.0493445024569285,-0.0585888282603202,-0.0686639221385121,-0.0472762970931739,-0.061824020551235,-0.0587937400245212
"33",-0.0408769276114467,-0.0446121824689187,-0.0461910189811471,-0.057523394934833,-0.0426060871774086,-0.061824020551235,-0.0587937400245212
"34",-0.0397099129184074,-0.041635441303696,-0.0400905715454405,-0.053968490101397,-0.0453158878395961,-0.061824020551235,-0.0587937400245212
"35",-0.03871079666855,-0.0392118501739082,-0.037067384123831,-0.0505831791087985,-0.0406808331866733,-0.061824020551235,-0.0587937400245212
"36",-0.0405792693812829,-0.0433106193143814,-0.0491287210373244,-0.0593243865296245,-0.0488795054114259,-0.0617344113833459,-0.0587937400245212
"37",-0.0390402097104192,-0.0396973952161178,-0.0405451723952751,-0.0521469628438354,-0.0426450455259559,-0.0617344113833459,-0.0587937400245212
"38",-0.0378431714571466,-0.0370421837051583,-0.0362928361581491,-0.0477718887850642,-0.0443448931810074,-0.0617344113833459,-0.0587937400245212
"39",-0.0378781141093531,-0.0373407110801973,-0.0388805431308142,-0.0499659916386008,-0.0412945245869601,-0.0617344113833459,-0.0587937400245212
"40",-0.0372341627354121,-0.0361752231426869,-0.0369909682490074,-0.0499245012179017,-0.0450554802393732,-0.0617344113833459,-0.0587937400245212
"41",-0.0370676265260227,-0.0362057605034696,-0.0377628252640055,-0.0515434658154845,-0.0422037810520344,-0.061872265494605,-0.0587937400245212
"42",-0.0369270943478973,-0.0362335074129,-0.0379892676833139,-0.05274738650769,-0.0439385145002587,-0.061872265494605,-0.0587937400245212
"43",-0.0361830253709108,-0.0347364195272533,-0.0357012633655411,-0.0498000299558043,-0.039993378261549,-0.061872265494605,-0.0587937400245212
"44",-0.0349358531547413,-0.0321888113364581,-0.0319264920183124,-0.0436039874330163,-0.0419949692179637,-0.061872265494605,-0.0587937400245212
"45",-0.0358835080907213,-0.0351825599557367,-0.0402897651272142,-0.0502097653225064,-0.0425323199165677,-0.061872265494605,-0.0587937400245212
"46",-0.0359561190036232,-0.0354958966693008,-0.0398324612223296,-0.0512188067659736,-0.0392672831698078,-0.0616433917903008,-0.0587937400245212
"47",-0.0363213374499382,-0.0363896345048119,-0.0409179475604569,-0.0526797724887729,-0.0404596794206798,-0.0616433917903008,-0.0587937400245212
"48",-0.037445411720128,-0.0387979077803563,-0.0448241165666076,-0.0561061548069119,-0.0386369291862986,-0.0616433917903008,-0.0587937400245212
"49",-0.0359842107490885,-0.035450772409954,-0.0375064965071691,-0.0467740232124925,-0.040646663226038,-0.0616433917903008,-0.0587937400245212
"50",-0.0348030798572067,-0.0329187775646092,-0.0334503124521967,-0.0418247887864709,-0.0377491595211413,-0.0616433917903008,-0.0587937400245212
