"norm","t","skst","ald","aparch-skst","NA","fix.ald","his"
"1",-0.0358635909413976,-0.0347835987781576,-0.0560154343578593,-0.0516003838951483,-0.0498912512314515,-0.0498912512314515,-0.0731774310474314,-0.0714462769288032
"2",-0.0347911720452082,-0.0335202744425036,-0.05590752170782,-0.0469200211086557,-0.0507865230437911,-0.0507865230437911,-0.0731774310474314,-0.0714462769288032
"3",-0.0341793997533926,-0.0328499092541969,-0.0557065068003022,-0.0472344168303849,-0.0492210936833559,-0.0492210936833559,-0.0731774310474314,-0.0714462769288032
"4",-0.0331614304277536,-0.0316117259379622,-0.0556712594920249,-0.0417843364592763,-0.0493414641829884,-0.0493414641829884,-0.0731774310474314,-0.0714462769288032
"5",-0.0403014310418236,-0.0386469626034221,-0.0557997559031967,-0.0665172799907707,-0.04798120104784,-0.04798120104784,-0.0731774310474314,-0.0714462769288032
"6",-0.0406974469790302,-0.0392626115289714,-0.055999684304292,-0.0676331168165242,-0.0495956535602259,-0.0495956535602259,-0.0730884468858864,-0.0714462769288032
"7",-0.0393944382759158,-0.0378247018479761,-0.0561165435374681,-0.0591082119389714,-0.0477885905207957,-0.0477885905207957,-0.0730884468858864,-0.0714462769288032
"8",-0.0381905585575577,-0.0364813674314139,-0.0562306091924051,-0.0528050284997,-0.0483556805535865,-0.0483556805535865,-0.0730884468858864,-0.0714462769288032
"9",-0.0369705835785711,-0.0351400392528214,-0.056103573521913,-0.0482783921349289,-0.0471839315033931,-0.0471839315033931,-0.0730884468858864,-0.0714462769288032
"10",-0.0358454374148164,-0.0338936893201827,-0.0559767029682313,-0.0449781901125018,-0.0472541652809686,-0.0472541652809686,-0.0730884468858864,-0.0714462769288032
"11",-0.038223810555319,-0.0368895770888563,-0.0556484628675076,-0.0589005444524923,-0.0484536070995083,-0.0484536070995083,-0.0730547533893895,-0.0714462769288032
"12",-0.036939462202887,-0.0354346436635136,-0.0555835204525654,-0.0511242626090246,-0.0470483668846427,-0.0470483668846427,-0.0730547533893895,-0.0714462769288032
"13",-0.0433183137642254,-0.041969586637176,-0.05568494934374,-0.07259144865849,-0.0470641319677166,-0.0470641319677166,-0.0730547533893895,-0.0714462769288032
"14",-0.0419352432884533,-0.0405680432458811,-0.0555012785387605,-0.0649627018898405,-0.0484667414865777,-0.0484667414865777,-0.0730547533893895,-0.0714462769288032
"15",-0.0406301126580791,-0.0392227160968401,-0.0553297972942987,-0.0591567510423724,-0.0464343538048068,-0.0464343538048068,-0.0730547533893895,-0.0714462769288032
"16",-0.0425950204968084,-0.0417700521659746,-0.0550634636761499,-0.0688958030640357,-0.0498462828060246,-0.0498462828060246,-0.0728878650969279,-0.0714462769288032
"17",-0.0411039600443938,-0.0401232851293374,-0.0551836494474418,-0.0602588893621682,-0.0466151811776578,-0.0466151811776578,-0.0728878650969279,-0.0714462769288032
"18",-0.0398053648114283,-0.0386767914064596,-0.055327661761552,-0.0547958935400902,-0.0483980183181351,-0.0483980183181351,-0.0728878650969279,-0.0714462769288032
"19",-0.041654471124112,-0.0408106959206519,-0.055573544906619,-0.0648021572595247,-0.0457796634538679,-0.0457796634538679,-0.0728878650969279,-0.0714462769288032
"20",-0.0401252845307127,-0.0391179099431372,-0.0555085631267882,-0.0554814864329118,-0.0484039614922781,-0.0484039614922781,-0.0728878650969279,-0.0714462769288032
"21",-0.0389336812316604,-0.037413916000084,-0.055473340442025,-0.048695068951485,-0.0450226270246163,-0.0450226270246163,-0.0727511248598484,-0.0714462769288032
"22",-0.0379220253799845,-0.0362461205011135,-0.0556333058175407,-0.0469092965350339,-0.0468779449473342,-0.0468779449473342,-0.0727511248598484,-0.0714462769288032
"23",-0.0367204206826253,-0.0348514243523771,-0.0556973482810723,-0.0424375682145528,-0.0444949074123407,-0.0444949074123407,-0.0727511248598484,-0.0714462769288032
"24",-0.0359295687535973,-0.0340515617826355,-0.0554993034078251,-0.0436555595812292,-0.0462524201902368,-0.0462524201902368,-0.0727511248598484,-0.0714462769288032
"25",-0.0379041948886551,-0.0365926715480065,-0.0552451545448124,-0.0567207147396926,-0.0457756005298581,-0.0457756005298581,-0.0727511248598484,-0.0714462769288032
"26",-0.0364653100626446,-0.0352374450142328,-0.0550865997817154,-0.0504516956506648,-0.0449416474033186,-0.0449416474033186,-0.0727797258215161,-0.0710506230455354
"27",-0.0357931809460575,-0.0344465568262425,-0.055279766678427,-0.0492326014569825,-0.0437075100108798,-0.0437075100108798,-0.0727797258215161,-0.0710506230455354
"28",-0.037729003619221,-0.036620446080577,-0.0555359520654099,-0.0587277641059122,-0.0438749167388774,-0.0438749167388774,-0.0727797258215161,-0.0710506230455354
"29",-0.0381181709775575,-0.0372459227699347,-0.0552695379098013,-0.0622351418868489,-0.0454766677098882,-0.0454766677098882,-0.0727797258215161,-0.0710506230455354
"30",-0.0381467098799253,-0.0374242235083979,-0.0550135368304568,-0.0633043199350453,-0.0445605402758371,-0.0445605402758371,-0.0727797258215161,-0.0710506230455354
"31",-0.0369127260728357,-0.0360166999970716,-0.0548555773974943,-0.0554850285471839,-0.0445577287771208,-0.0445577287771208,-0.0726759866523879,-0.0710506230455354
"32",-0.0371204106262147,-0.0363836017613052,-0.0546059817512377,-0.0584295492931142,-0.0447542560182556,-0.0447542560182556,-0.0726759866523879,-0.0710506230455354
"33",-0.0361109414659884,-0.035232461746943,-0.0544711221408085,-0.0535910524067121,-0.0440235038920247,-0.0440235038920247,-0.0726759866523879,-0.0710506230455354
"34",-0.0354672596970958,-0.0344424010521989,-0.0546689365374979,-0.0522030564341807,-0.043303900164946,-0.043303900164946,-0.0726759866523879,-0.0710506230455354
"35",-0.0375933409253826,-0.0367635054371634,-0.0549215136674596,-0.0619311580909547,-0.0430770862179725,-0.0430770862179725,-0.0726759866523879,-0.0710506230455354
"36",-0.0377570471553882,-0.037092553083987,-0.0546071291984172,-0.0630667983491136,-0.0449540749700909,-0.0449540749700909,-0.0725428973081447,-0.0710506230455354
"37",-0.0364886417106182,-0.0355970062516168,-0.0546481524525507,-0.0534451515480856,-0.042578474233755,-0.042578474233755,-0.0725428973081447,-0.0710506230455354
"38",-0.0354426953734789,-0.0343892602928172,-0.0545346679741898,-0.0491455600141939,-0.043991055468436,-0.043991055468436,-0.0725428973081447,-0.0710506230455354
"39",-0.0344908010474414,-0.033232404678756,-0.0546655490842051,-0.0457913849779521,-0.0416104149131534,-0.0416104149131534,-0.0725428973081447,-0.0710506230455354
"40",-0.0372338985460467,-0.0364396510810473,-0.0544371130843466,-0.0594825311782735,-0.0461299123120782,-0.0461299123120782,-0.0725428973081447,-0.0710506230455354
"41",-0.0362947555583162,-0.0354658321888107,-0.0542216488570524,-0.0548750949297393,-0.0427864205454095,-0.0427864205454095,-0.0725294744932435,-0.0710506230455354
"42",-0.0360646143345586,-0.0353261429429733,-0.0540036918463571,-0.0556468348349217,-0.0455951334815875,-0.0455951334815875,-0.0725294744932435,-0.0710506230455354
"43",-0.0349376678749985,-0.0339557612811878,-0.0540829451299354,-0.0487694802686998,-0.0422669639196736,-0.0422669639196736,-0.0725294744932435,-0.0710506230455354
"44",-0.0356548173441075,-0.0346515595347841,-0.0543385442731015,-0.0545517481178711,-0.0439139821453736,-0.0439139821453736,-0.0725294744932435,-0.0710506230455354
"45",-0.0385500833022149,-0.0380649761266924,-0.0541274859041191,-0.0660424254849948,-0.0453220342706978,-0.0453220342706978,-0.0725294744932435,-0.0710506230455354
